"c13"	"n15"	"source"	"subsource"
-22.22	2.9	"plants"	1
-22.65	2.9	"plants"	1
-21.29	2.45	"plants"	1
-22.36	2.61	"plants"	1
-20.65	1.47	"plants"	1
-21.89	2.69	"plants"	1
-21.49	2.73	"plants"	1
-21.51	2.1	"plants"	1
-21.63	2.79	"plants"	1
-22.93	3	"plants"	1
-23.11	1.85	"plants"	1
-23.28	3.03	"plants"	1
-23.11	2.17	"plants"	1
-21.44	1.86	"plants"	1
-21.18	2.55	"plants"	1
-22.46	2.53	"plants"	1
-24	2.05	"plants"	1
-22.77	3.09	"plants"	1
-23.31	2.8	"plants"	1
-21.84	2.62	"plants"	2
-23.17	2.41	"plants"	2
-22.41	2.38	"plants"	2
-21.83	3.08	"plants"	2
-22.71	1.73	"plants"	2
-21.95	2.21	"plants"	2
-24.14	0.91	"plants"	2
-22.99	2.96	"plants"	2
-22.83	2.93	"plants"	2
-22.7	2.39	"plants"	2
-22.89	2.11	"plants"	2
-28.46	16.92	"animals"	1
-27.96	16.46	"animals"	1
-28.75	18.45	"animals"	1
-28	16.52	"animals"	1
-28.55	17.72	"animals"	1
-28.74	19.19	"animals"	1
-29.9	20.34	"animals"	1
-29.66	17.52	"animals"	1
-16.5	11.39	"humans"	1
-17.4	10.62	"humans"	1
-17.6	11.1	"humans"	1
-18.1	10.72	"humans"	1
-16.8	10.48	"humans"	1
-17.3	10.85	"humans"	1
-18	11.44	"humans"	1
-17.3	11.36	"humans"	1
-17.8	10.91	"humans"	1
-18	11.07	"humans"	1
