"Mean" "SD" "2.5%" "25%" "50%" "75%" "97.5%" "r.est"
"mu.source[1,1]" -28.7303913333333 0.26177723633016 -29.2528175 -28.896425 -28.7125 -28.562175 -28.211565 1.00687181805356
"mu.source[2,1]" -17.4817038333333 0.16874711973642 -17.8587475 -17.5847 -17.47485 -17.370575 -17.1685175 1.00011169589346
"mu.source[3,1]" -22.447918 0.148091840754863 -22.7235025 -22.54105 -22.44815 -22.359675 -22.1349325 1.02662455385003
"mu.source[1,2]" 17.8333976666667 0.568791788670794 16.7141725 17.47585 17.85065 18.18215 19.0088375 1.00635884384629
"mu.source[2,2]" 11.001496 0.115337743790014 10.7661725 10.92635 11.0012 11.069375 11.240815 1.00474842766453
"mu.source[3,2]" 2.45383595 0.10241616961086 2.2474175 2.3833425 2.45958 2.52274 2.65132275 0.999079565766763
"sd.source[1,1]" 0.634510525 0.20724959187876 0.22494515 0.50133175 0.6441515 0.77041 1.01609875 1.00961027081192
"sd.source[2,1]" 1.20292654666667 0.176445876667131 0.93475095 1.081625 1.17399 1.2925625 1.6162415 1.00506025255519
"sd.source[1,2]" 0.236014584166667 0.193175954586085 0.03583399 0.0809194 0.174176 0.3472755 0.7156726 1.01133018768045
"sd.source[2,2]" 0.600926223333333 0.0746814910790023 0.480554525 0.54895775 0.5943695 0.64461025 0.7753178 1.0134545872297
"sd.source[1,3]" 0.79250011 0.105657900772354 0.566147325 0.73486075 0.8031445 0.85816825 0.9742469 1.04615645478036
"sd.source[2,3]" 0.727578791666667 0.0492822712984987 0.645154575 0.69184725 0.722456 0.7593095 0.829441325 0.998363177686196
"rho.source[1]" -0.588892673103333 0.366786338535337 -0.980508775 -0.877535 -0.698632 -0.43199725 0.42156135 1.01759462648621
"rho.source[2]" -0.0480110697 0.537722539203293 -0.93000955 -0.482123 -0.06693325 0.37907625 0.938997225 1.02940715113357
"rho.source[3]" 0.123006754389333 0.208512511841626 -0.26930655 -0.01123325 0.1314275 0.26107125 0.54025435 0.998728590571981
"mu.conc[1,1]" 24.12513052 7.4604822411537 9.3001925 19.278225 24.24455 28.47745 38.573245 1.02285199270104
"mu.conc[2,1]" 22.07362427 6.54523981842275 8.47523 17.458075 21.956 26.506 34.102915 1.01083364375507
"mu.conc[1,2]" 22.3315758 7.17650972763779 7.70849 18.6937 22.7418 27.191025 35.37292 1.30062715519522
"mu.conc[2,2]" 24.8741006166667 6.43635389274514 11.0679075 21.7894 25.004 28.3059 36.7949 1.04360688089172
"mu.conc[1,3]" 26.2943451666667 3.95873144168967 18.28694 23.60665 26.20925 28.82 34.0240125 1.01076669683512
"mu.conc[2,3]" 23.6612973333333 3.50531885996261 17.0154475 21.31075 23.6776 26.171975 30.201415 1.01794460265079
