"Mean" "SD" "2.5%" "25%" "50%" "75%" "97.5%" "r.est"
"sd.conc[1,1]" 20.27635945 6.75837691086225 12.061565 15.778925 18.751 23.06935 38.67232 0.999195725552731
"sd.conc[2,1]" 19.6600793666667 6.37679529121717 11.78047 15.668025 18.34495 21.9374 35.9456875 1.0196668911921
"sd.conc[1,2]" 21.2021771666667 5.81973898160264 13.48333 17.036575 20.0382 24.256475 36.56036 1.00465363554731
"sd.conc[2,2]" 21.3830958333333 6.37258169106117 13.360975 17.133775 20.0514 23.752725 36.7607075 1.00490909652032
"sd.conc[1,3]" 20.9307948333333 3.01482704027853 15.996775 18.7554 20.53645 22.750875 27.8999025 0.997120022221128
"sd.conc[2,3]" 20.8602856666667 2.98055834493144 15.9529875 18.8027 20.53375 22.5958 27.7057775 1.00134721403588
"mu.mix[1,1]" -21.4828421666667 0.639456096881068 -22.8950425 -21.893725 -21.40165 -21.043625 -20.4112925 1.10636078760775
"mu.mix[2,1]" -21.9721823333333 0.418259376461407 -22.831215 -22.2275 -21.9565 -21.735325 -21.10369 1.09870388486451
"mu.mix[3,1]" -21.8057478333333 0.468965120347071 -22.7477325 -22.1009 -21.80515 -21.506225 -20.872455 1.06992146043998
"mu.mix[4,1]" -22.1644398333333 0.292112239382914 -22.7389675 -22.35895 -22.16915 -21.991175 -21.53105 1.07267917428241
"mu.mix[5,1]" -21.9968196666667 0.431909633912388 -22.941035 -22.24435 -21.95315 -21.72065 -21.2010525 1.15804413299748
"mu.mix[6,1]" -22.116555 0.336428030750696 -22.7396275 -22.31555 -22.12345 -21.9079 -21.437195 1.14135109550772
"mu.mix[7,1]" -21.4913843333333 0.68103516322125 -22.97552 -21.888675 -21.4285 -21.006 -20.3905475 1.26551257025697
"mu.mix[1,2]" 5.50344073333333 0.716778082832367 3.1043895 5.23347 5.594935 5.92178 6.505368 1.03108369034367
"mu.mix[2,2]" 4.2382594 0.535783648212716 3.0295235 3.8976 4.25923 4.5964775 5.242561 1.00158833148316
"mu.mix[3,2]" 4.5780115 0.588967027014473 3.04107525 4.28685 4.656715 4.9375425 5.59281975 1.01720121030528
"mu.mix[4,2]" 3.61169673333333 0.461935240231364 2.630517 3.31715 3.6172 3.9208325 4.49648125 1.02718174607921
"mu.mix[5,2]" 4.31036668333333 0.550162010789877 3.0519505 3.9914725 4.354215 4.658805 5.315738 1.00437737136642
"mu.mix[6,2]" 3.82735743333333 0.508967063923601 2.7328405 3.51497 3.82752 4.158035 4.81065525 1.00263099083649
"mu.mix[7,2]" 5.84135735 0.526046488353764 4.75181675 5.656365 5.90236 6.129495 6.5064765 0.999591120310176
"p[1,1]" 0.0412185802263953 0.0551998947923705 9.351337e-12 2.4259675e-09 0.01766485 0.063127675 0.19037595 1.47558474151147
"p[2,1]" 0.0301248482351059 0.0381568663702112 9.45493225e-12 1.595195e-09 0.01569325 0.046933075 0.13145035 1.54429754195719
"p[3,1]" 0.0302833580808808 0.0393472214074555 8.25088425e-12 1.4765475e-09 0.01515565 0.0485173 0.13907505 1.53044848453202
"p[4,1]" 0.0214491175921027 0.0274984211451375 6.97041825e-12 1.4764075e-09 0.010039 0.035388975 0.0917268175 1.50578347306898
"p[5,1]" 0.0336777063620627 0.0423196685148005 9.606893e-12 1.6647725e-09 0.01544855 0.055535 0.1411839 1.54602734382136
"p[6,1]" 0.0253509744516994 0.0321794115985449 7.4866585e-12 1.672435e-09 0.0128884 0.041620625 0.110790575 1.5323296972846
"p[7,1]" 0.0542771096220207 0.0639306659553585 1.244498725e-11 2.05854e-09 0.0323374 0.091386575 0.20831285 1.62886600268909
"p[1,2]" 0.277522504796297 0.117711324410197 3.996877025e-05 0.2085295 0.2936545 0.36166575 0.4724252 1.17547717541758
"p[2,2]" 0.153319119308087 0.0789457878442221 5.92630925e-05 0.104263 0.150811 0.2034875 0.311542375 1.12515136656585
"p[3,2]" 0.190749591341082 0.0876884953570975 2.5607015e-05 0.137046 0.1989855 0.25214175 0.3481124 1.12270696212204
"p[4,2]" 0.096882560432942 0.0578720499210795 1.2182146e-05 0.05613125 0.09273375 0.131362 0.22230505 1.11263134648305
"p[5,2]" 0.15504562774472 0.080005365062375 2.05497775e-05 0.10466275 0.153843 0.20846825 0.31362425 1.15554927686812
"p[6,2]" 0.1150333138411 0.0630893128631517 8.7647255e-06 0.070120925 0.115598 0.1565795 0.248683525 1.1361402411338
"p[7,2]" 0.293140013764639 0.119772480763245 3.280775225e-05 0.23389725 0.3087345 0.37828925 0.484199725 1.27490318183298
"p[1,3]" 0.681258921666667 0.0982824556393274 0.500384375 0.6162135 0.675893 0.73470525 0.94182215 1.02350598998438
"p[2,3]" 0.816556038333333 0.0723726992207768 0.661601525 0.774688 0.8211405 0.8659005 0.95443965 1.00660969907303
"p[3,3]" 0.778967028333333 0.0780773280504443 0.6251001 0.72905475 0.777644 0.827616 0.944326775 1.01543524238346
"p[4,3]" 0.881668323333333 0.0579552817202561 0.76353225 0.848889 0.887513 0.92139425 0.980136875 1.03855391952271
"p[5,3]" 0.811276645 0.0697850787484846 0.666145125 0.7697925 0.8140815 0.856649 0.9499381 1.00049318200569
"p[6,3]" 0.859615713333333 0.0615223783225686 0.729654975 0.81939375 0.8620785 0.901591 0.972484825 1.00240347644851
"p[7,3]" 0.652582888333333 0.0869341918095051 0.502357875 0.5961035 0.647349 0.69931525 0.8366238 1.0331696867285
"p.pop[1]" 0.0309890257366692 0.0374838773771653 8.0886145e-12 1.6960225e-09 0.0186493 0.052430375 0.127767775 1.59392005986919
"p.pop[2]" 0.170671580063299 0.0825279238181562 1.70972685e-05 0.120356 0.1677545 0.22498025 0.33583975 1.17442681501957
"p.pop[3]" 0.7983394 0.0748228323571081 0.656528275 0.752604 0.7979905 0.846135 0.9389743 1.00585668585918
"sd.me[1]" 0.493941305 0.0515181412517834 0.404847675 0.45742425 0.4876515 0.52539775 0.615533675 1.0079526546417
"sd.me[2]" 0.0525170758333333 0.00559191092369716 0.0435334475 0.0482842 0.0520763 0.0561564 0.0645968325 1.0017553211524
"sd.res[1]" 0.184081471833333 0.168654334673034 0.02585283 0.06861715 0.1273075 0.2462285 0.6226595 1.05882156151998
"sd.res[2]" 0.190556681 0.246709785839862 0.0314825525 0.064214925 0.1118445 0.220761 0.790886349999998 1.01509479330281
